state_t,next_state_t1,transition_probability,sample_size,warning
away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,0.230769,18,True
away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,0.061538,18,True
away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=1_plus|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,0.030769,18,True
away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=-2_or_more|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,0.040816,2,True
away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=-2_or_more|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=-2_or_more|strength_gap_bucket=unknown|venue_context=neutral,0.040816,2,True
away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,0.067568,27,False
away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,0.094595,27,False
away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,0.243243,27,False
away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,0.154412,89,False
away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,0.117647,89,False
away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,0.080882,89,False
